phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
subject	build-qwen-cuda-8680bc95e989	20	0	20	3	20	8.856	32	123.625	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	529	512	17	3	529	36.276	32	130.903	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	530	512	18	3	530	33.674	32	126.77	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	531	512	19	3	531	35.142	32	128.249	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	532	512	20	3	532	37.984	32	128.156	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1041	1024	17	3	1041	57.425	32	132.803	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1042	1024	18	3	1042	54.579	32	130.937	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1043	1024	19	3	1043	52.014	32	142.179	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1044	1024	20	3	1044	50.825	32	141.801	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2065	2048	17	3	2065	99.94	32	135.86	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2066	2048	18	3	2066	98.247	32	139.126	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2067	2048	19	3	2067	97.763	32	137.105	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2068	2048	20	3	2068	100.903	32	136.113	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	17	0	17	4	17	8.435	32	136.929	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	18	0	18	4	18	7.926	32	135.583	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	19	0	19	4	19	11.318	32	131.51	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	20	0	20	4	20	11.426	32	142.869	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	529	512	17	4	529	31.338	32	135.031	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	530	512	18	4	530	32.773	32	135.772	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
